2022-12-31 21:39:11,029 p=57329 u=craig n=ansible | PLAY [Create an LXC container in Proxmox] *****************************************************************************************************************************
2023-01-18 22:27:09,788 p=98971 u=craig n=ansible | TASK [pm_create_lxc : Start container] **********************************************************************************************************************************************************
2023-01-18 22:27:10,129 p=98971 u=craig n=ansible | [DEPRECATION WARNING]: The default value `false` for the parameter "unprivileged" is deprecated and it will be replaced with `true`. This feature will be removed from community.general in 
version 7.0.0. Deprecation warnings can be disabled by setting deprecation_warnings=False in ansible.cfg.
2023-01-18 22:27:10,130 p=98971 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:27:10,147 p=98971 u=craig n=ansible | TASK [pm_create_lxc : Add new container to inventory] *******************************************************************************************************************************************
2023-01-18 22:27:10,170 p=98971 u=craig n=ansible | changed: [192.168.1.99]
2023-01-18 22:27:10,185 p=98971 u=craig n=ansible | TASK [pm_create_lxc : Wait for port 22 to become open on the host] ******************************************************************************************************************************
2023-01-18 22:27:10,602 p=98971 u=craig n=ansible | ok: [192.168.1.99]
2023-01-18 22:27:10,639 p=98971 u=craig n=ansible | TASK [pm_create_lxc : Allow release-info to change for APT repositories] ************************************************************************************************************************
2023-01-18 22:27:12,325 p=98971 u=craig n=ansible | changed: [192.168.1.99 -> 192.168.1.4]
2023-01-18 22:27:12,354 p=98971 u=craig n=ansible | TASK [pm_create_lxc : Run the equivalent of "apt-get update"] ***********************************************************************************************************************************
2023-01-18 22:27:13,774 p=98971 u=craig n=ansible | ok: [192.168.1.99 -> 192.168.1.4]
2023-01-18 22:27:13,804 p=98971 u=craig n=ansible | TASK [pm_create_lxc : Update all packages to their latest version] ******************************************************************************************************************************
2023-01-18 22:27:14,795 p=98971 u=craig n=ansible | ok: [192.168.1.99 -> 192.168.1.4]
2023-01-18 22:27:14,829 p=98971 u=craig n=ansible | TASK [pm_create_lxc : add rsa public key to remote host] ****************************************************************************************************************************************
2023-01-18 22:27:15,302 p=98971 u=craig n=ansible | ok: [192.168.1.99 -> 192.168.1.4]
2023-01-18 22:27:15,331 p=98971 u=craig n=ansible | TASK [pm_create_lxc : Install the latest version of python] *************************************************************************************************************************************
2023-01-18 22:27:16,117 p=98971 u=craig n=ansible | ok: [192.168.1.99 -> 192.168.1.4]
2023-01-18 22:27:16,144 p=98971 u=craig n=ansible | TASK [pm_create_lxc : Install or update to latest version of pip] *******************************************************************************************************************************
2023-01-18 22:27:52,929 p=98971 u=craig n=ansible | changed: [192.168.1.99 -> 192.168.1.4]
2023-01-18 22:27:52,972 p=98971 u=craig n=ansible | TASK [docker_lxc : Verify that the target is online/contactable] ********************************************************************************************************************************
2023-01-18 22:27:53,426 p=98971 u=craig n=ansible | ok: [192.168.1.99 -> 192.168.1.4]
2023-01-18 22:27:53,455 p=98971 u=craig n=ansible | TASK [docker_lxc : Install Docker] **************************************************************************************************************************************************************
2023-01-18 22:27:54,637 p=98971 u=craig n=ansible | ok: [192.168.1.99 -> 192.168.1.4]
2023-01-18 22:27:54,667 p=98971 u=craig n=ansible | TASK [docker_lxc : Enable Docker] ***************************************************************************************************************************************************************
2023-01-18 22:27:55,713 p=98971 u=craig n=ansible | ok: [192.168.1.99 -> 192.168.1.4]
2023-01-18 22:27:55,742 p=98971 u=craig n=ansible | TASK [docker_lxc : Start Docker] ****************************************************************************************************************************************************************
2023-01-18 22:27:56,580 p=98971 u=craig n=ansible | ok: [192.168.1.99 -> 192.168.1.4]
2023-01-18 22:27:56,610 p=98971 u=craig n=ansible | TASK [docker_lxc : Make sure the required Python packages are installed] ************************************************************************************************************************
2023-01-18 22:27:58,724 p=98971 u=craig n=ansible | changed: [192.168.1.99 -> 192.168.1.4] => (item=requests)
2023-01-18 22:27:58,768 p=98971 u=craig n=ansible | TASK [Create a Caddyfile in this directory that maps adguard.home to 192.168.1.1 port 8888] *****************************************************************************************************
2023-01-18 22:27:59,321 p=98971 u=craig n=ansible | ok: [192.168.1.99 -> 192.168.1.4]
2023-01-18 22:27:59,350 p=98971 u=craig n=ansible | TASK [Create a Caddy container with the Caddyfile mounted] **************************************************************************************************************************************
2023-01-18 22:27:59,898 p=98971 u=craig n=ansible | An exception occurred during task execution. To see the full traceback, use -vvv. The error was: ModuleNotFoundError: No module named 'docker'
2023-01-18 22:27:59,898 p=98971 u=craig n=ansible | fatal: [192.168.1.99 -> 192.168.1.4]: FAILED! => {"changed": false, "msg": "Failed to import the required Python library (Docker SDK for Python: docker above 5.0.0 (Python >= 3.6) or docker before 5.0.0 (Python 2.7) or docker-py (Python 2.6)) on networkdocker's Python /usr/bin/python3. Please read the module documentation and install it in the appropriate location. If the required library is installed, but Ansible is using the wrong Python interpreter, please consult the documentation on ansible_python_interpreter, for example via `pip install docker` (Python >= 3.6) or `pip install docker==4.4.4` (Python 2.7) or `pip install docker-py` (Python 2.6). The error was: No module named 'docker'"}
